2018rank,City,state,2018estimate,2010Census,2016 land area in sq/mi,2016 land area in km2,2016 population density in sq/mi,2016 population density in km2,rank_living_cost_index,cost_index_rate,rate_index,cost_plus_rent_index,groceries_index,restaurent_price_index,power_index
93,Garlan,Texas,242507,226876,57.0,147.6,4122,1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Irving,Texas,242242,216290,67.0,173.5,3557,1373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Hialeah,Florida,238942,224669,21.5,55.7,10995,4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Fremont,California,237807,214089,77.5,00.7,3008,1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Boise,Idaho,228790,205671,82.1,12.6,2718,1049,48.0,61.05,31.26,46.73,53.62,68.3,114.98
98,Richmond,Virginia,228783,204214,59.8,154.9,3732,1441,23.0,73.23,35.16,54.92,72.13,77.95,106.89
99,Baton Rouge,Louisiana,221599,229493,85.9,.5,2651,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Spokane,Washington,219190,208916,68.7,177.9,3144,1214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Des Moines,Iowa,216853,203433,88.9,30.,2424,936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Tacoma,Washington,216279,198397,49.7,128.7,4251,1641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,San Bernardino,California,215941,209924,61.5,159.3,3516,1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Modesto,California,215030,201165,43.0,111.4,4934,1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Fontana,California,213739,196069,43.0,111.4,4876,1883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Santa Clarita,California,210089,176320,52.8,136.8,3446,1331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Birmingham,Alabama,209880,212237,146.1,378.4,1452,561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Oxnar,California,209877,197899,26.9,69.7,7729,2984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Fayetteville,North Carolina,209468,200564,147.7,382.5,1386,535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Moreno Valley,California,209050,193365,51.3,132.9,4006,1547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Rochester,New York,206284,210565,35.8,92.7,5835,2253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Glendale,California,201361,191719,30.4,78.7,6606,2551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Huntington Beach,California,200641,189992,26.9,69.7,7459,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Salt Lake City,Utah,200591,186440,111.2,88.0,1742,673,47.0,63.86,36.66,50.78,58.34,64.3,138.62
115,Grand Rapids,Michigan,200217,188040,44.4,115.0,4424,1708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Amarillo,Texas,199924,190695,101.4,62.6,1968,760,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Yonkers,New York,199663,195976,18.0,46.6,11156,4307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Aurora,Illinois,199602,197899,44.9,116.3,4479,1729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Montgomery,Alabama,198218,205764,159.8,413.9,1252,483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Akron,Ohio,198006,199110,62.0,160.6,3188,1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Little Rock,Arkansas,197881,193524,118.7,307.4,1673,646,49.0,59.55,25.61,43.23,52.79,64.39,134.78
122,Huntsville,Alabama,197318,180105,213.4,552.7,905,349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Augusta,Georgia,196939,195844,302.5,783.5,652,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Port St. Lucie,Florida,195248,164603,118.9,307.9,1557,601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Grand Prairie,Texas,194614,175396,72.3,187.3,2637,1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Columbus,Georgia,194160,189885,216.4,560.5,913,353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Tallahassee,Florida,193551,181376,100.4,60.0,1901,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Overland Park,Kansas,192536,173372,75.1,194.5,2516,971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Tempe,Arizona,192364,161719,40.0,103.6,4562,1761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,McKinney,Texas,191645,131117,63.0,163.,2735,1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Mobile,Alabama,189572,195111,139.4,361.0,1384,534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Cape Coral,Florida,189343,154305,105.6,73.5,1703,658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Shreveport,Louisiana,188987,199311,107.1,77.4,1820,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Frisco,Texas,188170,116989,67.7,175.3,2417,933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
